,VerseId,VerseContent,UntrimmedAudio
19,MAT.1.17,"Kuva kuri Aburahamu kugeza kuri Dawidi hari ibisekuruza cumi na bine, kuva kuri Dawidi kugeza bajyanywe i Babiloni na byo ni cumi na bine, no kuva bajyanywe i Babiloni kugeza kuri Kristo ni cumi na bine.",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
21,MAT.1.18,"Dore uko byagenze mu ivuka rya Yezu Kristo. Nyina Mariya wari warasabwe na Yozefu, yasamye inda bitewe na Mwuka Muziranenge kandi atari yabana n'umugabo we. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
22,MAT.1.19,"Yozefu akaba umuntu w'intungane, ntiyashaka kumukoza isoni, ni bwo yigiriye inama yo kumubenga rwihishwa. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
23,MAT.1.20,"Akiri muri ibyo umumarayika wa Nyagasani amubonekera mu nzozi, aramubwira ati: â€œYozefu mwene Dawidi, witinya kuzana umugeni wawe Mariya, kuko iyo nda yayisamye bitewe na Mwuka Muziranenge. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
24,MAT.1.21,Azabyara umuhungu umwite Yezu,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
26,MAT.1.22,Byose byabereye kugira ngo bibe nk'uko Nyagasani yari yaratumye umuhanuzi kubivuga ati:,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
28,MAT.1.23,"â€œDore umukobwa w'isugi azasama inda,",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
29,MAT.1.23,"azabyara umwana w'umuhungu,",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
30,MAT.1.23,bazamwita Emanweli.â€ù,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
31,MAT.1.23,(Risobanurwa ngo â€œImana iri kumwe natwe.â€ù),http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
33,MAT.1.24,"Yozefu akangutse abigenza uko umumarayika wa Nyagasani yari yamutegetse, azana umugeni we. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
34,MAT.1.25,Ariko ntibaryamana kugeza igihe yabyariye umwana w'umuhungu. Uwo mwana Yozefu amwita Yezu.,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
35,MAT.2.1,"Yezu amaze kuvukira i Betelehemu mu ntara ya Yudeya ku ngoma y'Umwami Herodi, haza abahanga mu by'inyenyeri baturutse iburasirazuba bagera i Yeruzalemu. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
36,MAT.2.2,"Barabaza bati: â€œUmwami w'Abayahudi uherutse kuvuka ari hehe? Twabonye inyenyeri ye turi iburasirazuba, none twari tuje kumuramya.â€ù",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
38,MAT.2.3,"Umwami Herodi yumvise ibyo ahagarika umutima, we n'abaturage bose b'i Yeruzalemu. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
39,MAT.2.4,"Nuko akoranya abakuru bo mu batambyi n'abigishamategeko bose b'Abisiraheli, ababaza aho Kristo yajyaga kuzavukira. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
40,MAT.2.5,"Baramusubiza bati: â€œNi i Betelehemu mu ntara ya Yudeya, kuko ari ko byanditswe n'umuhanuzi ngo:",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
42,MAT.2.6,"â€˜Nawe Betelehemu yo mu Buyuda,",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
43,MAT.2.6,"ntabwo uri uw'inyuma mu butegetsi bw'u Buyuda,",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
44,MAT.2.6,"kuko muri wowe hazaturuka umutegetsi,",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
45,MAT.2.6,azaba umushumba w'ubwoko bwanjye bw'Abisiraheli.â€™ â€ù,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
47,MAT.2.7,"Nuko Herodi atumiza ba bahanga arabihererana, ababaza neza igihe baboneye ya nyenyeri. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
48,MAT.2.8,"Nuko abatuma i Betelehemu avuga ati: â€œNimugende mubaririze neza iby'uwo mwana. Nimumubona muzabimenyeshe, nanjye njye kumuramya.â€ù",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
50,MAT.2.9,"Bamaze kumva amagambo y'umwami baragenda. Ni bwo iyo nyenyeri bari babonye bakiri iburasirazuba ibagiye imbere, irinda igera hejuru y'aho umwana ari irahahagarara. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
51,MAT.2.10,Babonye iyo nyenyeri barishima cyane. ,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
52,MAT.2.11,"Nuko binjira mu nzu basanga umwana ari kumwe na nyina Mariya, bamwikubita imbere baramuramya. Bahambura ibintu bazanye bifite agaciro barabimutura. Byari izahabu n'ububani n'imibavu y'igiciro. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
53,MAT.2.12,"Nuko Imana imaze kubaburira mu nzozi ngo be gusubira kwa Herodi, baherako banyura indi nzira basubira mu gihugu cyabo.",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
55,MAT.2.13,"Bamaze kugenda umumarayika wa Nyagasani abonekera Yozefu mu nzozi, aramubwira ati: â€œByuka ujyane umwana na nyina muhungire mu gihugu cya Misiri, mugumeyo kugeza igihe nzakubwirira, kuko Herodi agiye gushaka umwana ngo amwice.â€ù",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
57,MAT.2.14,"Iryo joro Yozefu arabyuka, ajyana umwana na nyina bajya mu Misiri. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
58,MAT.2.15,Bagumayo kugeza igihe Herodi apfiriye. Ibyo byabereyeho kugira ngo bibe uko Nyagasani yari yaravuze atumye umuhanuzi ati: â€œUmwana wanjye naramuhamagaye ngo ave mu Misiri.â€ù,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
60,MAT.2.16,"Herodi abonye ko ba bahanga bamutengushye ararakara cyane. Nuko yohereza abantu kwica abana b'abahungu bose b'i Betelehemu n'abo mu mirenge yose ihakikije, bamaze imyaka ibiri cyangwa batarayigezaho, agereranyije n'igihe ba bahanga bari bamubwiye ko ari bwo babonye ya nyenyeri. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
61,MAT.2.17,Bityo biba uko byavuzwe n'umuhanuzi Yeremiya agira ati:,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
63,MAT.2.18,"â€œInduru yumvikaniye i Rama,",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
64,MAT.2.18,humvikanye n'amarira n'umuborogo mwinshi.,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
65,MAT.2.18,"Rasheli araririra abana be,",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
66,MAT.2.18,yanze guhozwa kuko batakiriho.â€ù,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
68,MAT.2.19,"Nuko Herodi amaze gupfa, umumarayika wa Nyagasani abonekera Yozefu mu nzozi akiri mu Misiri, ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
69,MAT.2.20,"aramubwira ati: â€œByuka ufate umwana na nyina musubire mu gihugu cya Isiraheli, kuko abashakaga kwica uwo mwana batakiriho.â€ù",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
71,MAT.2.21,"Yozefu arabyuka ajyana umwana na nyina, bagerana mu gihugu cya Isiraheli. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
72,MAT.2.22,"Ariko yumvise ko Arikelawo mwene Herodi yabaye Umwami w'i Yudeya asimbuye se, atinya kujyayo. Ni ko kuburirwa ari mu nzozi ngo ajye mu ntara ya Galileya. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
73,MAT.2.23,"Nuko ajyayo atura mu mujyi witwa Nazareti, kugira ngo bibe nk'uko byavuzwe n'abahanuzi ngo: â€œAzitwa Umunyanazareti",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/2-5ad2d23efd1ea5cfed53f09c0c627ccb.mp3?version_id=387
74,MAT.3.1,Icyo gihe,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
75,MAT.3.2,â€œNimwihane kuko ubwami bw'ijuru bwegereje!â€ù,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
77,MAT.3.3,Yohani uwo ni we wari waravuzwe n'umuhanuzi Ezayi ngo:,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
78,MAT.3.3,â€œNimwumve ijwi ry'urangururira mu butayu ati:,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
79,MAT.3.3,"â€˜Nimutunganye inzira ya Nyagasani,",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
80,MAT.3.3,nimuringanize aho azanyura.â€™ â€ù,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
82,MAT.3.4,"Yohani yambaraga umwambaro uboheshejwe ubwoya bw'ingamiya, awukenyeje umukandara w'uruhu. Yatungwaga n'isanane n'ubuki bw'ubuhura. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
83,MAT.3.5,"Abaturage b'i Yeruzalemu n'abo mu ntara yose ya Yudeya n'abo mu karere kose kegereye uruzi rwa Yorodani baramusangaga, ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
84,MAT.3.6,"akababatiriza mu ruzi rwa Yorodani, bemerera mu ruhame ibyaha byabo.",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
86,MAT.3.7,"Yohani abonye Abafarizayi n'Abasaduseyi benshi baje kubatizwa arababwira ati: â€œMwa rubyaro rw'impiri mwe, ni nde wabagiriye inama yo guhunga uburakari bw'Imana bwegereje? ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
87,MAT.3.8,"Nuko rero nk'uko igiti cyera imbuto, abe ari ko namwe mugira imigenzereze yerekana ko mwihannye, ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
88,MAT.3.9,kandi ntimukirate muti: â€˜Turi bene Aburahamu,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
89,MAT.3.10,Ndetse n'ubu intorezo irabanguye kugira ngo iteme ibiti ibihereye ku mizi. Nuko rero igiti cyose kitera imbuto nziza kigiye gutemwa gitwikwe. ,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
90,MAT.3.11,"Jyewe ndababatirisha amazi kugira ngo mwihane, ariko nyuma yanjye hagiye kuza undusha ububasha, ntibinkwiriye no kumukuramo inkweto. We azababatirisha Mwuka Muziranenge n'umuriro. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
91,MAT.3.12,"Dore afashe urutaro ngo agosore impeke azihunike mu kigega, naho umurama awucanishe umuriro utazima.â€ù",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
93,MAT.3.13,"Nyuma Yezu ava muri Galileya ajya kuri Yorodani, asanga Yohani ngo amubatize. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
94,MAT.3.14,"Ariko Yohani aramuhakanira ati: â€œNi jye wari ukwiriye kubatizwa nawe, none ni wowe unsanze?â€ù",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
96,MAT.3.15,"Yezu aramusubiza ati: â€œEmera ubikore kuko ari byo bikwiye, kugira ngo tuboneze ibyo Imana ishaka.â€ù",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
97,MAT.3.15,Yohani aherako aremera. ,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
98,MAT.3.16,"Yezu amaze kubatizwa ahita ava mu mazi. Muri ako kanya ijuru rirakinguka, abona Mwuka w'Imana amumanukiraho asa n'inuma. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
99,MAT.3.17,"Nuko humvikana ijwi ry'uvugira mu ijuru ati: â€œUyu ni Umwana wanjye nkunda cyane, ni we nishimira.â€ù",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/3-b17bf09483306039eeb6ed64431d25ec.mp3?version_id=387
100,MAT.4.1,"Nuko Yezu ajyanwa na Mwuka w'Imana mu butayu, kugira ngo ahageragerezwe na Satani. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
101,MAT.4.2,"Ahamara iminsi mirongo ine n'amajoro mirongo ine yigomwa kurya, hanyuma arasonza. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
102,MAT.4.3,Umushukanyi aramwegera aramubwira ati: â€œNiba uri Umwana w'Imana tegeka ko aya mabuye ahinduka imigati.â€ù,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
104,MAT.4.4,"Yezu aramusubiza ati: â€œBiranditswe ngo â€˜Umuntu ntatungwa n'ibyokurya gusa, ahubwo atungwa n'ijambo ryose Imana ivuga.â€™ â€ù",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
106,MAT.4.5,"Satani amujyana i Yeruzalemu umujyi Imana yitoranyirije, amuhagarika ku munara w'Ingoro y'Imana, ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
107,MAT.4.6,"aramubwira ati: â€œNiba uri Umwana w'Imana simbuka ugwe hasi, kuko byanditswe ngo",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
108,MAT.4.6,"â€˜Imana izagutegekera abamarayika bayo,",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
109,MAT.4.6,"bazakuramira mu maboko yabo,",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
110,MAT.4.6,kugira ngo udasitara ku ibuye.â€™ â€ù,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
112,MAT.4.7,Yezu aramubwira ati: â€œBiranditswe kandi ngo â€˜Ntukagerageze Nyagasani Imana yawe.â€™ â€ù,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
114,MAT.4.8,"Nuko Satani arongera amujyana mu mpinga y'umusozi muremure cyane, amwereka ibihugu byose byo ku isi n'icyubahiro cyabyo, ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
115,MAT.4.9,"aramubwira ati: â€œBiriya byose ndabiguha, nunyikubita imbere ukandamya.â€ù",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
117,MAT.4.10,"Yezu aramubwira ati: â€œGenda Satani, kuko byanditswe ngo â€˜Uzaramye Nyagasani Imana yawe, abe ari we wenyine uyoboka.â€™ â€ù",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
119,MAT.4.11,"Satani amusiga aho, haza abamarayika baramukorera.",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
121,MAT.4.12,Yezu yumvise ko Yohani yafunzwe ajya muri Galileya. ,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
122,MAT.4.13,"Ntiyaguma i Nazareti, ajya kuba i Kafarinawumu ku nkombe y'ikiyaga, mu ntara ya Zabuloni na Nafutali",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
123,MAT.4.14,Kwari ukugira ngo bibe nk'uko byavuzwe n'umuhanuzi Ezayi ngo:,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/4-8fc5b7e3b8fe1e259e47d55f01b92f02.mp3?version_id=387
